"dataset_id","surface","curvature_label","domain_shape","sampling_profile","n","seed","setting_id","graph_family","k","prune_method","stage","target","metric_stage","status","rel_rms_error","rel_abs_error_q95","pearson_cor"
"circle12","unit circle","radius 1","circle","regular",12,17,"k2","sknn",2,"none","final","surface","final","ok",0.0113840705346307,0.011384070534631,1
"circle12","unit circle","radius 1","circle","regular",12,17,"k4","sknn",4,"none","final","surface","final","ok",0.0412747672229985,0.0450703414486281,0.999941650719039
